Dataset,OpenML ID,Model,Accuracy,F1,Precision,Recall,Balanced Acc,MCC,Jaccard
electricity,151,GB,0.7433333333333333,0.6778242677824268,0.7431192660550459,0.6230769230769231,0.729185520361991,0.47226240662025515,0.5126582278481012
electricity,151,MSBoost,0.7066666666666667,0.5368421052631579,0.85,0.3923076923076923,0.669683257918552,0.42042049624769534,0.3669064748201439
electricity,151,SnapBoost,,,,,,,
